IP,Host,Port,Subject_CN,Issuer_CN,SAN,Pubkey_Type,Pubkey_Bits,Sig_Algo,NotBefore,NotAfter,Validity_Days,Days_Remaining,Fingerprint,source
212.42.73.103,,443,sinoptik.uk,Sectigo RSA Domain Validation Secure Server CA,en.sinoptik.pl;pinformer.sinoptik.ua;sinoptik.de;sinoptik.pl;sinoptik.ua;sinoptik.uk;sinst.fwdcdn.com;ua.sinoptik.ua;www.sinoptik.de;www.sinoptik.pl;www.sinoptik.ua;www.sinoptik.uk,rsa,2048,sha256WithRSAEncryption,2024-11-18T00:00:00,2025-12-18T23:59:59,395,27,34b90f07355002ea2d4e600bac2952d90904d660752bdd932c99500fcd51b6cc,nmap
213.59.253.7,,443,*.gosuslugi.ru,GlobalSign GCC R3 DV TLS CA 2020,*.gosuslugi.ru;gosuslugi.ru,rsa,2048,sha256WithRSAEncryption,2024-10-22T10:37:08,2025-11-23T09:08:08,396,1,daa9f860cfcd77a9a24146ada5d33c2e707831a2d856ac6b3d5041330ae49030,nmap
216.150.1.1,,443,no-sni.vercel-infra.com,R12,no-sni.vercel-infra.com,rsa,2048,sha256WithRSAEncryption,2025-09-19T13:27:44,2025-12-18T13:27:43,89,26,649ef953e090b9177b28cea5fdf22f593816a460b0c445b5e9be2b47a607316d,nmap
216.198.79.1,,443,no-sni.vercel-infra.com,R12,no-sni.vercel-infra.com,rsa,2048,sha256WithRSAEncryption,2025-09-19T13:27:44,2025-12-18T13:27:43,89,26,649ef953e090b9177b28cea5fdf22f593816a460b0c445b5e9be2b47a607316d,nmap
216.198.79.195,,443,no-sni.vercel-infra.com,R12,no-sni.vercel-infra.com,rsa,2048,sha256WithRSAEncryption,2025-09-19T13:27:44,2025-12-18T13:27:43,89,26,649ef953e090b9177b28cea5fdf22f593816a460b0c445b5e9be2b47a607316d,nmap
217.118.87.98,,443,*.beeline.ru,GlobalSign RSA OV SSL CA 2018,*.beeline.ru;beeline.ru,rsa,4096,sha256WithRSAEncryption,2024-11-11T09:52:06,2025-11-22T13:36:16,376,0,88db2c6c49f9c7b7e68d3cb20f0b699c00c9f9b6a9c151b4648887e59562de1b,nmap
217.69.139.70,,443,*.mail.ru,GlobalSign RSA OV SSL CA 2018,*.mail.ru;mail.ru,rsa,2048,sha256WithRSAEncryption,2024-10-24T13:41:03,2025-11-25T13:41:02,396,3,aae71694682ce54b62873596a3589a497d04fc717451782fa28a037543df31d0,nmap
23.22.13.113,,443,fedidcard.gov,R13,fedidcard.gov;firstgov.gov;forms.gov;fpisc.gov;gobiernousa.gov;gsa.gov;m.gsa.gov;pbrb.gov;permitting.gov;usa.gov;workplace.gsa.gov;www.fedidcard.gov;www.fpisc.gov,rsa,4096,sha256WithRSAEncryption,2025-09-16T11:59:48,2025-12-15T11:59:47,89,23,b5d8541e008788dbb4c64d3db145997c77293ba34bbc4bd730fa0e3885809ef8,nmap
23.227.38.33,,443,*.myshopify.com,E8,*.myshopify.com;myshopify.com,ec,256,ecdsa-with-SHA384,2025-09-16T17:44:44,2025-12-15T17:44:43,89,23,4fdf918e760004db1ebf7cda60b5eabb663a3f14d3e0ac70c7a38551fcc3b627,nmap
23.77.30.247,,443,fast.com,DigiCert TLS RSA SHA256 2020 CA1,fast.com;www.fast.com,rsa,2048,sha256WithRSAEncryption,2024-11-22T00:00:00,2025-11-22T06:00:00,365,0,b85874a2fb62e44070a733dabc3e0198ce820e274500bee0e7856a89640d67ae,nmap
3.126.246.180,,443,abuseat.org,R12,abuseat.org,rsa,2048,sha256WithRSAEncryption,2025-09-22T07:25:37,2025-12-21T07:25:36,89,29,9d2d6fbdfffc809ad1b3bbd0201dcbae3ac9b2d8e129def87fcffb9b215c5258,nmap
3.215.148.80,,443,uchicago.edu,InCommon RSA Server CA 2,uchicago.edu,rsa,4096,sha256WithRSAEncryption,2025-09-22T00:00:00,2025-12-21T23:59:59,90,30,8728110bd6ab13e67ad3dedadfd95fb0cdb3ef7492a9a9e79f4b4efd1e83fb7f,nmap
3.7.241.105,,443,www.screener.in,ZeroSSL RSA Domain Secure Site CA,cdn-media.screener.in;cdn-static.screener.in;screener.in;staging.screener.in;www.screener.in,rsa,2048,sha384WithRSAEncryption,2025-09-09T00:00:00,2025-12-08T23:59:59,90,17,22fc8e3de9328bb4382012dcd2a6f830d38872813d3f8e6c87e9fce32adbbc4e,nmap
34.111.180.20,,443,jagran.com,WR3,jagran.com,rsa,2048,sha256WithRSAEncryption,2025-09-21T10:59:04,2025-12-20T11:52:38,90,28,92e108a91bce184d8c570598d31f3b818274dec466d61add4a2af14d891e1147,nmap
34.120.97.237,,443,acronis.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,a-preview.acronis.com;a.acronis.com;academy.acronis.com;acronis.com;acronis.events;analytics.acronis.com;developer.acronis.com;history.acronis.com;solutions.acronis.com;staticfiles.acronis.com;tru.acronis.com;websiteapi.acronis.com;www.acronis.com;www.acronis.events,ec,256,sha256WithRSAEncryption,2025-07-08T00:00:00,2025-12-04T23:59:59,149,13,9234441f9e92796049709efa8876995b95f1aa36006de99baa0997858e0564b1,nmap
34.204.55.14,,443,*.stackadapt.com,E7,*.stackadapt.com,ec,256,ecdsa-with-SHA384,2025-09-08T06:02:02,2025-12-07T06:02:01,89,15,4a1c1c95473b34ad24b4268e1b4ed44b9262503219d91e093f8520c0e0c06d1f,nmap
